Cine sunt eu? Autenticitatea si limitele sale morale;2;44;9786069659601;1;2;;1;1;0
Puritani si puritane;2;60;9786069659045;1;2;;1;1;0
In locul sinelui;2;59;9786069659038;1;2;;1;1;0
Liturghie si contemplatie;2;16;9786068680644;1;2;;1;1;0
Exponential;2;37;9786068993768;1;2;;1;1;0
Cum sa devii un luptator in rugaciune;2;27;9786068432991;1;2;;1;1;0
Rezolva prin rugaciune;2;25;9786068432359;1;2;;1;1;0
Cum se schimba oamenii;2;43;9786069631584;1;2;;1;1;0
Terapie 1 la 1 cu sinele tau;2;63;9786069639856;1;2;;1;1;0
Dragoste nebuna;2;36;9789731813387;1;2;;1;1;0
O faptura atat de minunata;2;48;9786060311232;1;2;;1;1;0
Ritmuri sacre;2;31;9786068314204;1;2;;1;1;0
Sprijinitorul semenilor;2;31;9786069234686;1;2;;1;1;0
Dragostea actioneaza;2;35;9786068712185;1;2;;1;1;0
O dragoste care merita daruita;2;40;9789731813745;1;2;;1;1;0
Lider pentru o noua generatie;2;21;9789737996275;1;2;;1;1;0
O dragoste indrazneata;2;51;9786069399217;1;2;;1;1;0
Istoria lui Dumnezeu;2;64;9786064309563;1;2;;1;1;0
Despre natura umana;2;31;9789735078157;1;2;;1;1;0
Poarta cerului;2;64;9786060971801;1;2;;1;1;0
Ganduri catre sine insusi;2;34;9789735076276;1;2;;1;1;0
Apocalipsa. Mari dezastre din trecut;2;69;9789734685943;1;2;;1;1;0
Ora 25;2;41;9786066951104;1;2;;1;1;0
Adevarul despre minciuna;2;53;9786068977751;1;2;;1;1;0
Despre avort;2;22;9786067321593;1;2;;1;1;0
Despre casatorie;2;22;9786067321173;1;2;;1;1;0
Tulburatoarele descoperiri ale harului;2;42;9786067321135;1;2;;1;1;0
Rezilienta - reconstruirea dupa un traumatism;2;14;9786068944173;1;2;;1;1;0
A avea sau a fi;2;52;9786064010957;1;2;;1;1;0
Arta de a fi;2;37;9786064006400;1;2;;1;1;0
Limbajul uitat. O introducere in intelegerea viselor;2;37;9786064006196;1;2;;1;1;0
Dificila regasire a virtutii;2;42;9786306543106;1;2;;1;1;0
Despre suflet si inviere;2;32;5948417030348;1;2;;1;1;0
Povestea ta a inceput demult;2;52;9786067199321;1;2;;1;1;0
Rugaciune pentru Cernobil;2;55;9786063340536;1;2;;1;1;0
Ce nu am scris in cartile mele. Memorii;2;53;9786063389399;1;2;;1;1;0
Rusinea. Vocea, experienta si vindecarea rusinii;2;50;5948417500209;1;2;;1;1;0
Filosofia in Evul mediu;2;137;9786064012173;1;2;;1;1;0
Gradina secreta;2;42;9786067937633;1;2;;1;1;0
Roaga-te de-a lungul unui an;2;45;9786068314709;1;2;;1;1;0
7 Lucruri pe care el nu ti le va spune;2;33;9789738895942;1;2;;1;1;0
Glorioasa cautare;2;34;9786068314792;1;2;;1;1;0
Ancora nepieritoare a dragostei;2;50;9786067322262;1;2;;1;1;0
Cine aprinde stelele;2;59;9786067322286;1;2;;1;1;0
